From	Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)
P35980	P35980	reviewed	RL18_MOUSE	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	Mus musculus (Mouse)	188	Rpl18
P39053	P39053	reviewed	DYN1_MOUSE	Dynamin-1 (EC 3.6.5.5) (Dynamin) (Dynamin I)	Mus musculus (Mouse)	867	Dnm1
P39054	P39054	reviewed	DYN2_MOUSE	Dynamin-2 (EC 3.6.5.5) (Dynamin UDNM)	Mus musculus (Mouse)	870	Dnm2
P41105	P41105	reviewed	RL28_MOUSE	Large ribosomal subunit protein eL28 (60S ribosomal protein L28)	Mus musculus (Mouse)	137	Rpl28
P42669	P42669	reviewed	PURA_MOUSE	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	Mus musculus (Mouse)	321	Pura
P46460	P46460	reviewed	NSF_MOUSE	Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Suppressor of K(+) transport growth defect 2) (Protein SKD2) (Vesicular-fusion protein NSF)	Mus musculus (Mouse)	744	Nsf
P46735	P46735	reviewed	MYO1B_MOUSE	Unconventional myosin-Ib (MIH-L) (Myosin I alpha) (MMI-alpha) (MMIa)	Mus musculus (Mouse)	1107	Myo1b
P46935	P46935	reviewed	NEDD4_MOUSE	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	Mus musculus (Mouse)	887	Nedd4
P47911	P47911	reviewed	RL6_MOUSE	Large ribosomal subunit protein eL6 (60S ribosomal protein L6) (TAX-responsive enhancer element-binding protein 107) (TAXREB107)	Mus musculus (Mouse)	296	Rpl6
P47915	P47915	reviewed	RL29_MOUSE	Large ribosomal subunit protein eL29 (60S ribosomal protein L29)	Mus musculus (Mouse)	160	Rpl29
P47955	P47955	reviewed	RLA1_MOUSE	Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1)	Mus musculus (Mouse)	114	Rplp1
P47962	P47962	reviewed	RL5_MOUSE	Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	Mus musculus (Mouse)	297	Rpl5
P47963	P47963	reviewed	RL13_MOUSE	Large ribosomal subunit protein eL13 (60S ribosomal protein L13) (A52)	Mus musculus (Mouse)	211	Rpl13
P47964	P47964	reviewed	RL36_MOUSE	Large ribosomal subunit protein eL36 (60S ribosomal protein L36)	Mus musculus (Mouse)	105	Rpl36
P48774	P48774	reviewed	GSTM5_MOUSE	Glutathione S-transferase Mu 5 (EC 2.5.1.18) (Fibrous sheath component 2) (Fsc2) (GST class-mu 5)	Mus musculus (Mouse)	224	Gstm5
P48962	P48962	reviewed	ADT1_MOUSE	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)	Mus musculus (Mouse)	298	Slc25a4
P49312	P49312	reviewed	ROA1_MOUSE	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (HDP-1) (Helix-destabilizing protein) (Single-strand-binding protein) (Topoisomerase-inhibitor suppressed) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	Mus musculus (Mouse)	320	Hnrnpa1
P49615	P49615	reviewed	CDK5_MOUSE	Cyclin-dependent kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	Mus musculus (Mouse)	292	Cdk5
P51410	P51410	reviewed	RL9_MOUSE	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	Mus musculus (Mouse)	192	Rpl9
P51807	P51807	reviewed	DYLT1_MOUSE	Dynein light chain Tctex-type 1 (Activator of G-protein signaling 2) (AGS2) (T-complex testis-specific protein 1) (TCTEX-1)	Mus musculus (Mouse)	113	Dynlt1
P51881	P51881	reviewed	ADT2_MOUSE	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]	Mus musculus (Mouse)	298	Slc25a5
P52479	P52479	reviewed	UBP10_MOUSE	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	Mus musculus (Mouse)	792	Usp10
P53026	P53026	reviewed	RL10A_MOUSE	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	Mus musculus (Mouse)	217	Rpl10a
P54103	P54103	reviewed	DNJC2_MOUSE	DnaJ homolog subfamily C member 2 (Mouse Id associate 1) (MIDA1) (Zuotin-related factor 1)	Mus musculus (Mouse)	621	Dnajc2
P54822	P54822	reviewed	PUR8_MOUSE	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Mus musculus (Mouse)	484	Adsl
P55096	P55096	reviewed	ABCD3_MOUSE	ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (68 kDa peroxisomal membrane protein) (PMP68) (70 kDa peroxisomal membrane protein) (PMP70)	Mus musculus (Mouse)	659	Abcd3
P55194	P55194	reviewed	3BP1_MOUSE	SH3 domain-binding protein 1 (3BP-1)	Mus musculus (Mouse)	680	Sh3bp1
P56399	P56399	reviewed	UBP5_MOUSE	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	Mus musculus (Mouse)	858	Usp5
P56480	P56480	reviewed	ATPB_MOUSE	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	Mus musculus (Mouse)	529	Atp5f1b
P57724	P57724	reviewed	PCBP4_MOUSE	Poly(rC)-binding protein 4 (Alpha-CP4)	Mus musculus (Mouse)	403	Pcbp4
P57776	P57776	reviewed	EF1D_MOUSE	Elongation factor 1-delta (EF-1-delta)	Mus musculus (Mouse)	281	Eef1d
P58252	P58252	reviewed	EF2_MOUSE	Elongation factor 2 (EF-2) (EC 3.6.5.-)	Mus musculus (Mouse)	858	Eef2
P60060	P60060	reviewed	SC61G_MOUSE	Protein transport protein Sec61 subunit gamma	Mus musculus (Mouse)	68	Sec61g
P60229	P60229	reviewed	EIF3E_MOUSE	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (MMTV integration site 6) (Mammary tumor-associated protein INT-6) (Viral integration site protein INT-6) (eIF-3 p48)	Mus musculus (Mouse)	445	Eif3e
P60335	P60335	reviewed	PCBP1_MOUSE	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1)	Mus musculus (Mouse)	356	Pcbp1
P60710	P60710	reviewed	ACTB_MOUSE	Actin, cytoplasmic 1 (Beta-actin) (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Mus musculus (Mouse)	375	Actb
P60843	P60843	reviewed	IF4A1_MOUSE	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Mus musculus (Mouse)	406	Eif4a1
P60867	P60867	reviewed	RS20_MOUSE	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	Mus musculus (Mouse)	119	Rps20
P61161	P61161	reviewed	ARP2_MOUSE	Actin-related protein 2 (Actin-like protein 2)	Mus musculus (Mouse)	394	Actr2
P61205	P61205	reviewed	ARF3_MOUSE	ADP-ribosylation factor 3	Mus musculus (Mouse)	181	Arf3
P61222	P61222	reviewed	ABCE1_MOUSE	ATP-binding cassette sub-family E member 1 (RNase L inhibitor) (EC 3.6.5.-) (Ribonuclease 4 inhibitor) (RNS4I)	Mus musculus (Mouse)	599	Abce1
P61255	P61255	reviewed	RL26_MOUSE	Large ribosomal subunit protein uL24 (60S ribosomal protein L26) (Silica-induced gene 20 protein) (SIG-20)	Mus musculus (Mouse)	145	Rpl26
P61290	P61290	reviewed	PSME3_MOUSE	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	Mus musculus (Mouse)	254	Psme3
P61327	P61327	reviewed	MGN_MOUSE	Protein mago nashi homolog	Mus musculus (Mouse)	146	Magoh
P61358	P61358	reviewed	RL27_MOUSE	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	Mus musculus (Mouse)	136	Rpl27
P61620	P61620	reviewed	S61A1_MOUSE	Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1)	Mus musculus (Mouse)	476	Sec61a1
P61979	P61979	reviewed	HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	Mus musculus (Mouse)	463	Hnrnpk
P62082	P62082	reviewed	RS7_MOUSE	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	Mus musculus (Mouse)	194	Rps7
P62141	P62141	reviewed	PP1B_MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	Mus musculus (Mouse)	327	Ppp1cb
P62242	P62242	reviewed	RS8_MOUSE	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	Mus musculus (Mouse)	208	Rps8
P62245	P62245	reviewed	RS15A_MOUSE	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	Mus musculus (Mouse)	130	Rps15a
P62259	P62259	reviewed	1433E_MOUSE	14-3-3 protein epsilon (14-3-3E)	Mus musculus (Mouse)	255	Ywhae
P62264	P62264	reviewed	RS14_MOUSE	Small ribosomal subunit protein uS11 (40S ribosomal protein S14)	Mus musculus (Mouse)	151	Rps14
P62267	P62267	reviewed	RS23_MOUSE	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	Mus musculus (Mouse)	143	Rps23
P62270	P62270	reviewed	RS18_MOUSE	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)	Mus musculus (Mouse)	152	Rps18
P62274	P62274	reviewed	RS29_MOUSE	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	Mus musculus (Mouse)	56	Rps29
P62281	P62281	reviewed	RS11_MOUSE	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	Mus musculus (Mouse)	158	Rps11
P62301	P62301	reviewed	RS13_MOUSE	Small ribosomal subunit protein uS15 (40S ribosomal protein S13)	Mus musculus (Mouse)	151	Rps13
P62305	P62305	reviewed	RUXE_MOUSE	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	Mus musculus (Mouse)	92	Snrpe
P62320	P62320	reviewed	SMD3_MOUSE	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	Mus musculus (Mouse)	126	Snrpd3
P62631	P62631	reviewed	EF1A2_MOUSE	Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1)	Mus musculus (Mouse)	463	Eef1a2
P62702	P62702	reviewed	RS4X_MOUSE	Small ribosomal subunit protein eS4 (40S ribosomal protein S4, X isoform)	Mus musculus (Mouse)	263	Rps4x
P62717	P62717	reviewed	RL18A_MOUSE	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	Mus musculus (Mouse)	176	Rpl18a
P62737	P62737	reviewed	ACTA_MOUSE	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	Mus musculus (Mouse)	377	Acta2
P62751	P62751	reviewed	RL23A_MOUSE	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	Mus musculus (Mouse)	156	Rpl23a
P62754	P62754	reviewed	RS6_MOUSE	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	Mus musculus (Mouse)	249	Rps6
P62806	P62806	reviewed	H4_MOUSE	Histone H4	Mus musculus (Mouse)	103	H4c1; H4c2; H4c3; H4c4; H4c6; H4c8; H4c9; H4c11; H4c12; Hist1h4m; H4c14; H4c16
P62827	P62827	reviewed	RAN_MOUSE	GTP-binding nuclear protein Ran (EC 3.6.5.-) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	Mus musculus (Mouse)	216	Ran
P62830	P62830	reviewed	RL23_MOUSE	Large ribosomal subunit protein uL14 (60S ribosomal protein L23)	Mus musculus (Mouse)	140	Rpl23
P62843	P62843	reviewed	RS15_MOUSE	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	Mus musculus (Mouse)	145	Rps15
P62849	P62849	reviewed	RS24_MOUSE	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	Mus musculus (Mouse)	133	Rps24
P62852	P62852	reviewed	RS25_MOUSE	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	Mus musculus (Mouse)	125	Rps25
P62855	P62855	reviewed	RS26_MOUSE	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	Mus musculus (Mouse)	115	Rps26
P62858	P62858	reviewed	RS28_MOUSE	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	Mus musculus (Mouse)	69	Rps28
P62862	P62862	reviewed	RS30_MOUSE	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin-like and ribosomal protein S30) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	Mus musculus (Mouse)	133	Fau
P62889	P62889	reviewed	RL30_MOUSE	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	Mus musculus (Mouse)	115	Rpl30
P62892	P62892	reviewed	RL39_MOUSE	Large ribosomal subunit protein eL39 (60S ribosomal protein L39)	Mus musculus (Mouse)	51	Rpl39
P62900	P62900	reviewed	RL31_MOUSE	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	Mus musculus (Mouse)	125	Rpl31
P62908	P62908	reviewed	RS3_MOUSE	Small ribosomal subunit protein uS3 (EC 4.2.99.18) (40S ribosomal protein S3)	Mus musculus (Mouse)	243	Rps3
P62911	P62911	reviewed	RL32_MOUSE	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)	Mus musculus (Mouse)	135	Rpl32
P62918	P62918	reviewed	RL8_MOUSE	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	Mus musculus (Mouse)	257	Rpl8
P62960	P62960	reviewed	YBOX1_MOUSE	Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor)	Mus musculus (Mouse)	322	Ybx1
P62983	P62983	reviewed	RS27A_MOUSE	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	Mus musculus (Mouse)	156	Rps27a
P62996	P62996	reviewed	TRA2B_MOUSE	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (Silica-induced gene 41 protein) (SIG-41) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	Mus musculus (Mouse)	288	Tra2b
P63017	P63017	reviewed	HSP7C_MOUSE	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Mus musculus (Mouse)	646	Hspa8
P63034	P63034	reviewed	CYH2_MOUSE	Cytohesin-2 (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2) (CLM2) (SEC7 homolog B) (mSec7-2)	Mus musculus (Mouse)	400	Cyth2
P63037	P63037	reviewed	DNJA1_MOUSE	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2)	Mus musculus (Mouse)	397	Dnaja1
P63073	P63073	reviewed	IF4E_MOUSE	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (mRNA cap-binding protein) (eIF-4F 25 kDa subunit)	Mus musculus (Mouse)	217	Eif4e
P63158	P63158	reviewed	HMGB1_MOUSE	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	Mus musculus (Mouse)	215	Hmgb1
P63163	P63163	reviewed	RSMN_MOUSE	Small nuclear ribonucleoprotein-associated protein N (snRNP-N) (Sm protein D) (Sm-D) (Sm protein N) (Sm-N) (SmN) (Tissue-specific-splicing protein)	Mus musculus (Mouse)	240	Snrpn
P63242	P63242	reviewed	IF5A1_MOUSE	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (eIF-4D)	Mus musculus (Mouse)	154	Eif5a
P63276	P63276	reviewed	RS17_MOUSE	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	Mus musculus (Mouse)	135	Rps17
P63318	P63318	reviewed	KPCG_MOUSE	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	Mus musculus (Mouse)	697	Prkcg
P63323	P63323	reviewed	RS12_MOUSE	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)	Mus musculus (Mouse)	132	Rps12
P63325	P63325	reviewed	RS10_MOUSE	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	Mus musculus (Mouse)	165	Rps10
P67871	P67871	reviewed	CSK2B_MOUSE	Casein kinase II subunit beta (CK II beta) (Phosvitin)	Mus musculus (Mouse)	215	Csnk2b
P67984	P67984	reviewed	RL22_MOUSE	Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (Heparin-binding protein HBp15)	Mus musculus (Mouse)	128	Rpl22
P68033	P68033	reviewed	ACTC_MOUSE	Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	Mus musculus (Mouse)	377	Actc1
P68040	P68040	reviewed	RACK1_MOUSE	Small ribosomal subunit protein RACK1 (12-3) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor for activated C kinase) (Receptor of activated protein C kinase 1) (Receptor of activated protein kinase C 1) (p205) [Cleaved into: Small ribosomal subunit protein RACK1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed) (Receptor of activated protein C kinase 1, N-terminally processed)]	Mus musculus (Mouse)	317	Rack1
P68181	P68181	reviewed	KAPCB_MOUSE	cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11)	Mus musculus (Mouse)	351	Prkacb
P68369	P68369	reviewed	TBA1A_MOUSE	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Alpha-tubulin isotype M-alpha-1) (Tubulin alpha-1 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]	Mus musculus (Mouse)	451	Tuba1a
P68373	P68373	reviewed	TBA1C_MOUSE	Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Alpha-tubulin isotype M-alpha-6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	Mus musculus (Mouse)	449	Tuba1c
P70188	P70188	reviewed	KIFA3_MOUSE	Kinesin-associated protein 3 (KAP-3) (KAP3)	Mus musculus (Mouse)	793	Kifap3
P70288	P70288	reviewed	HDAC2_MOUSE	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-) (YY1 transcription factor-binding protein)	Mus musculus (Mouse)	488	Hdac2
P70333	P70333	reviewed	HNRH2_MOUSE	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	Mus musculus (Mouse)	449	Hnrnph2
P70398	P70398	reviewed	USP9X_MOUSE	Ubiquitin carboxyl-terminal hydrolase 9X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets homolog) (Fat facets protein-related, X-linked) (Ubiquitin carboxyl-terminal hydrolase FAM) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)	Mus musculus (Mouse)	2559	Usp9x
P70670	P70670	reviewed	NACAM_MOUSE	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	Mus musculus (Mouse)	2187	Naca
P70698	P70698	reviewed	PYRG1_MOUSE	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	Mus musculus (Mouse)	591	Ctps1
P80314	P80314	reviewed	TCPB_MOUSE	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	Mus musculus (Mouse)	535	Cct2
P83510	P83510	reviewed	TNIK_MOUSE	Traf2 and NCK-interacting protein kinase (EC 2.7.11.1)	Mus musculus (Mouse)	1323	Tnik
P83882	P83882	reviewed	RL36A_MOUSE	Large ribosomal subunit protein eL42 (60S ribosomal protein L36a) (60S ribosomal protein L44)	Mus musculus (Mouse)	106	Rpl36a
P84091	P84091	reviewed	AP2M1_MOUSE	AP-2 complex subunit mu (AP-2 mu chain) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein)	Mus musculus (Mouse)	435	Ap2m1
P84099	P84099	reviewed	RL19_MOUSE	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	Mus musculus (Mouse)	196	Rpl19
P84104	P84104	reviewed	SRSF3_MOUSE	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Protein X16) (Splicing factor, arginine/serine-rich 3)	Mus musculus (Mouse)	164	Srsf3
P84751	P84751	reviewed	HVM63_MOUSE	Ig heavy chain Mem5	Mus musculus (Mouse)	237	
P97351	P97351	reviewed	RS3A_MOUSE	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (Protein TU-11)	Mus musculus (Mouse)	264	Rps3a
P97379	P97379	reviewed	G3BP2_MOUSE	Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2)	Mus musculus (Mouse)	482	G3bp2
P97427	P97427	reviewed	DPYL1_MOUSE	Dihydropyrimidinase-related protein 1 (DRP-1) (Collapsin response mediator protein 1) (CRMP-1) (Inactive dihydropyrimidinase) (Unc-33-like phosphoprotein 3) (ULIP-3)	Mus musculus (Mouse)	572	Crmp1
P97461	P97461	reviewed	RS5_MOUSE	Small ribosomal subunit protein uS7 (40S ribosomal protein S5) [Cleaved into: Small ribosomal subunit protein uS7, N-terminally processed]	Mus musculus (Mouse)	204	Rps5
P97801	P97801	reviewed	SMN_MOUSE	Survival motor neuron protein	Mus musculus (Mouse)	288	Smn1
P97820	P97820	reviewed	M4K4_MOUSE	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	Mus musculus (Mouse)	1233	Map4k4
P97855	P97855	reviewed	G3BP1_MOUSE	Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (GAP SH3 domain-binding protein 1) (HDH-VIII)	Mus musculus (Mouse)	465	G3bp1
P97863	P97863	reviewed	NFIB_MOUSE	Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)	Mus musculus (Mouse)	570	Nfib
P99024	P99024	reviewed	TBB5_MOUSE	Tubulin beta-5 chain	Mus musculus (Mouse)	444	Tubb5
P99027	P99027	reviewed	RLA2_MOUSE	Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2)	Mus musculus (Mouse)	115	Rplp2
Q01097	Q01097	reviewed	NMDE2_MOUSE	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)	Mus musculus (Mouse)	1482	Grin2b
Q01405	Q01405	reviewed	SC23A_MOUSE	Protein transport protein Sec23A (SEC23-related protein A)	Mus musculus (Mouse)	765	Sec23a
Q01853	Q01853	reviewed	TERA_MOUSE	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Mus musculus (Mouse)	806	Vcp
Q02257	Q02257	reviewed	PLAK_MOUSE	Junction plakoglobin (Desmoplakin III) (Desmoplakin-3)	Mus musculus (Mouse)	745	Jup
Q04447	Q04447	reviewed	KCRB_MOUSE	Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	Mus musculus (Mouse)	381	Ckb
Q05512	Q05512	reviewed	MARK2_MOUSE	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (mPar-1b)	Mus musculus (Mouse)	776	Mark2
Q05A36	Q05A36	reviewed	MEX3C_MOUSE	RNA-binding E3 ubiquitin-protein ligase MEX3C (EC 2.3.2.27) (RING finger and KH domain-containing protein 2) (RING-type E3 ubiquitin transferase MEX3C)	Mus musculus (Mouse)	652	Mex3c
Q05D44	Q05D44	reviewed	IF2P_MOUSE	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Mus musculus (Mouse)	1216	Eif5b
Q08943	Q08943	reviewed	SSRP1_MOUSE	FACT complex subunit SSRP1 (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (T160)	Mus musculus (Mouse)	708	Ssrp1
Q0KL02	Q0KL02	reviewed	TRIO_MOUSE	Triple functional domain protein (EC 2.7.11.1)	Mus musculus (Mouse)	3102	Trio
Q0PHV7	Q0PHV7	reviewed	DACT3_MOUSE	Dapper homolog 3 (Dapper antagonist of catenin 3)	Mus musculus (Mouse)	610	Dact3
Q148V7	Q148V7	reviewed	RELCH_MOUSE	RAB11-binding protein RELCH (LisH domain and HEAT repeat-containing protein KIAA1468) (RAB11-binding protein containing LisH, coiled-coil, and HEAT repeats)	Mus musculus (Mouse)	1216	Relch
Q14B71	Q14B71	reviewed	CDCA2_MOUSE	Cell division cycle-associated protein 2	Mus musculus (Mouse)	982	Cdca2
